ID,link
168,https://sites.google.com/a/alaska.edu/cios-240-microcomputer-databases---access-2010---fall-2012/syllabus
169,http://www.cs.iit.edu/~cs425/files/syllabus.pdf
170,http://www.cs.jhu.edu/~yarowsky/syllabus.415.pdf
171,https://blogs.cofc.edu/olmsteda/teaching/bps/infs-211-database-security/infs-211-database-security-fall-2014-syllabus/
172,http://www.clayton.edu/portals/671/Content/Syllabus_database_1.docx
173,https://sites.temple.edu/spatialdb/
174,http://ctle.hccs.edu/jito/firstdays/curricunet.html
175,https://www.comp.nus.edu.sg/~lingtw/ic52c1/course.outline.html
176,http://www.cs.sdsu.edu/database-management-systems/
177,http://www4.rgu.ac.uk/coursedb/
178,https://www.cs.uct.ac.za/mit/downloads/syllabus.pdf
179,http://knowledge.kitchen/Database_Design_Syllabus
180,http://www.chronicle.com/blogs/wiredcampus/new-million-syllabi-repository-could-reveal-trends-in-teaching/30687
181,http://advisor.cs.odu.edu/advising/syllabi/fall2015/CS%2520450syllabus.oc.pdf
182,http://www.master-sds.unito.it/do/corsi.pl/Show%3F_id%3D99p1
183,http://www.labouseur.com/courses/db/syllabus.pdf
184,http://www.sfasu.edu/courseinformation/syl/201001/gis3951.pdf
185,http://comminfo.rutgers.edu/~mcole/courseMaterials/557_dbms_syl12.html
186,http://www.coeforict.org/resources/programs-of-study-report-user-guide/programs-of-study-for-2012-2013/working-sample-syllabus-database-designdevelopment/
187,https://web.cs.dal.ca/~hawkey/2141/2141_syllabus_2013W.pdf
188,http://www.avtechusa.com/avsite/course/course_syllabus_oracle_dba.pdf
189,http://nielit.gov.in/sites/default/files/st_o_sql_pl.pdf
190,https://spears.okstate.edu/online/files/MSIS5643.503-Syllabus-SP15.pdf
191,http://www.cob.unt.edu/itds/courses/bcis5420/BCIS_5420_Syllabus_Spring_2011.pdf
192,http://citebm.business.illinois.edu/IS_IT%2520Major%2520Courses%2520Summary%25202010/BADM352_Syllabus_Fall_09-VishalSachdev.pdf
193,https://www.studocu.com/en/document/florida-institute-of-tech/db-mgmt-technology/summaries/bus-5610-database-management-syllabus/435787/view
194,https://www.uta.edu/uta/academics/courses/syllabus.php
195,http://www.bucks.edu/academics/courses/syllabus/%3Flookup%3DCISC215
196,http://fcit2.kau.edu.sa:9002/reports/rwservlet%3Fcmdkey%3DSFWKEY%26p_crs_code%3D'CPCS-241'
197,https://www.coursera.org/learn/database-management
198,http://www.charteroak.edu/bb/Syllabi/ITE/ITE_430_printable.cfm
199,http://www.apa.org/apags/governance/subcommittees/cultural-competency.aspx
200,https://www.uncg.edu/cmp/documents/syllabi/CSC471-Syllabus-s15.pdf
